arquivo_fonte,tipo_resposta,question_id,question,expected_question,context,llm_answer
resultados/petrobras-4-1-com-ontologia-embeddingfirst/batch_0af85b3b-8717-41bf-bb6e-81ad74294f65-completo.csv,rag,1292,O que representa a fácies sísmica interpretada?,sedimentos clásticos finos,,"A fácies sísmica interpretada representa diferentes tipos de litotipos no reservatório: onde domina o amarelo, arenitos muito porosos; onde predomina o verde, sedimentos clásticos finos; e onde predomina o azul, margas e calcilutitos."
resultados/petrobras-4-1-com-ontologia-embeddingfirst/batch_0af85b3b-8717-41bf-bb6e-81ad74294f65-completo.csv,graphrag,1292,O que representa a fácies sísmica interpretada?,sedimentos clásticos finos,,"A fácies sísmica interpretada representa o padrão sísmico associado a litotipos específicos, como arenitos muito porosos, sedimentos clásticos finos e margas/calcilutitos, indicando a distribuição e predominância dessas rochas no volume do reservatório."
resultados/petrobras-4-1-com-ontologia-embeddingfirst/batch_0af85b3b-8717-41bf-bb6e-81ad74294f65-completo.csv,rag,1304,O que guia a curva vertical de proporções na matriz de proporções para a unidade genética superior do reservatório de Namorado?,respectiva fácies sísmica,,A curva vertical de proporções na matriz de proporções para a unidade genética superior do reservatório de Namorado é guiada pela fácies sísmica respectiva.
resultados/petrobras-4-1-com-ontologia-embeddingfirst/batch_0af85b3b-8717-41bf-bb6e-81ad74294f65-completo.csv,graphrag,1304,O que guia a curva vertical de proporções na matriz de proporções para a unidade genética superior do reservatório de Namorado?,respectiva fácies sísmica,,A curva vertical de proporções na matriz de proporções para a unidade genética superior do reservatório de Namorado é guiada pela respectiva fácies sísmica interpretada.
resultados/petrobras-4-1-com-ontologia-embeddingfirst/batch_0af85b3b-8717-41bf-bb6e-81ad74294f65-completo.csv,rag,1305,Qual fácies sísmica é interpretada como sedimentos clásticos finos na matriz de proporções?,verde,,A fácies sísmica interpretada como sedimentos clásticos finos na matriz de proporções é a que aparece dominante na cor verde.
resultados/petrobras-4-1-com-ontologia-embeddingfirst/batch_0af85b3b-8717-41bf-bb6e-81ad74294f65-completo.csv,graphrag,1305,Qual fácies sísmica é interpretada como sedimentos clásticos finos na matriz de proporções?,verde,,A fácies sísmica interpretada como sedimentos clásticos finos na matriz de proporções é a fácies associada à predominância da cor verde na matriz.
resultados/petrobras-4-1-com-ontologia-embeddingfirst/batch_0af85b3b-8717-41bf-bb6e-81ad74294f65-completo.csv,rag,1306,O que é utilizado para distribuir no volume do reservatório as CPVs conhecidas somente nos poços?,conceito de fácies sísmicas,,"Para distribuir no volume do reservatório as CPVs conhecidas somente nos poços, utiliza-se o conceito de fácies sísmicas, que guia a repartição espacial das CPVs através da construção de uma matriz de proporções de litotipos."
resultados/petrobras-4-1-com-ontologia-embeddingfirst/batch_0af85b3b-8717-41bf-bb6e-81ad74294f65-completo.csv,graphrag,1306,O que é utilizado para distribuir no volume do reservatório as CPVs conhecidas somente nos poços?,conceito de fácies sísmicas,,"Para distribuir no volume do reservatório as CPVs conhecidas somente nos poços, utiliza-se o conceito de fácies sísmicas, que guia a repartição espacial das CPVs por meio da construção de uma matriz de proporções de litotipos."
resultados/petrobras-4-1-com-ontologia-embeddingfirst/batch_0af85b3b-8717-41bf-bb6e-81ad74294f65-completo.csv,rag,1309,O que é a matriz de proporções na construção de uma matriz de proporções de litotipos?,uma ferramenta muito importante para capturar o comportamento espacial dos litotipos,,"A matriz de proporções na construção de uma matriz de proporções de litotipos é uma ferramenta que representa a distribuição espacial das proporções de diferentes litotipos (tipos de rocha) dentro de um reservatório, guiada por fácies sísmicas e pelos dados conhecidos nos poços. Ela permite capturar o comportamento espacial dos litotipos e auxilia na modelagem geoestatística, complementando a análise estrutural feita pelos variogramas."
resultados/petrobras-4-1-com-ontologia-embeddingfirst/batch_0af85b3b-8717-41bf-bb6e-81ad74294f65-completo.csv,graphrag,1309,O que é a matriz de proporções na construção de uma matriz de proporções de litotipos?,uma ferramenta muito importante para capturar o comportamento espacial dos litotipos,,"A matriz de proporções na construção de uma matriz de proporções de litotipos é uma ferramenta que representa as proporções dos diferentes litotipos (tipos de rochas) em cada volume de um reservatório, usando dados conhecidos dos poços e guiando sua distribuição espacial por fácies sísmicas. Ela é usada na modelagem geoestatística para mapear e analisar a variação espacial desses litotipos."
