tipo_registro,modelo,grupo,tipo_resposta,question_id,coluna,valor_ausente,eval_error,total_ausentes,percentual_ausente
resumo_coluna,,,,,answer_relevancy_score,,,0,0.0
resumo_coluna,,,,,faithfulness_score,,,0,0.0
resumo_coluna,,,,,contextual_relevancy_score,,,0,0.0
resumo_coluna,,,,,contextual_recall_score,,,0,0.0
resumo_coluna,,,,,correctness_score,,,0,0.0
resumo_coluna,,,,,completeness_score,,,0,0.0
resumo_coluna,,,,,geological_adequacy_score,,,0,0.0
resumo_coluna,,,,,ontology_alignment_score,,,0,0.0
resumo_coluna,,,,,rouge1_precision,,,0,0.0
resumo_coluna,,,,,rouge1_recall,,,0,0.0
resumo_coluna,,,,,rouge1_fmeasure,,,0,0.0
resumo_coluna,,,,,rouge2_precision,,,0,0.0
resumo_coluna,,,,,rouge2_recall,,,0,0.0
resumo_coluna,,,,,rouge2_fmeasure,,,0,0.0
resumo_coluna,,,,,rougeL_precision,,,0,0.0
resumo_coluna,,,,,rougeL_recall,,,0,0.0
resumo_coluna,,,,,rougeL_fmeasure,,,0,0.0
resumo_coluna,,,,,exact_match,,,0,0.0
resumo_coluna,,,,,token_f1,,,0,0.0
resumo_coluna,,,,,eval_error,,,0,0.0
