arquivo_fonte,tipo_resposta,metrica,n_perguntas,n_valores,media,desvio_padrao,mediana,q1,q3,minimo,maximo
resultados/dataset4-petrobras-4-1-sem-ontologia/batch_2dff2b66-650c-4c68-9d8a-718ecb116b5a.csv,rag,answer_relevancy_score,10,10,1.0,0.0,1.0,1.0,1.0,1.0,1.0
resultados/dataset4-petrobras-4-1-sem-ontologia/batch_2dff2b66-650c-4c68-9d8a-718ecb116b5a.csv,rag,faithfulness_score,10,10,1.0,0.0,1.0,1.0,1.0,1.0,1.0
resultados/dataset4-petrobras-4-1-sem-ontologia/batch_2dff2b66-650c-4c68-9d8a-718ecb116b5a.csv,rag,contextual_relevancy_score,10,10,0.925,0.1687371394276382,1.0,1.0,1.0,0.5,1.0
resultados/dataset4-petrobras-4-1-sem-ontologia/batch_2dff2b66-650c-4c68-9d8a-718ecb116b5a.csv,rag,contextual_recall_score,10,10,1.0,0.0,1.0,1.0,1.0,1.0,1.0
resultados/dataset4-petrobras-4-1-sem-ontologia/batch_2dff2b66-650c-4c68-9d8a-718ecb116b5a.csv,rag,correctness_score,10,10,0.9800000000000001,0.04216370213557838,1.0,1.0,1.0,0.9,1.0
resultados/dataset4-petrobras-4-1-sem-ontologia/batch_2dff2b66-650c-4c68-9d8a-718ecb116b5a.csv,rag,completeness_score,10,10,0.9600000000000002,0.06992058987801009,1.0,0.925,1.0,0.8,1.0
resultados/dataset4-petrobras-4-1-sem-ontologia/batch_2dff2b66-650c-4c68-9d8a-718ecb116b5a.csv,rag,geological_adequacy_score,10,10,0.9700000000000001,0.04830458915396478,1.0,0.925,1.0,0.9,1.0
resultados/dataset4-petrobras-4-1-sem-ontologia/batch_2dff2b66-650c-4c68-9d8a-718ecb116b5a.csv,rag,ontology_alignment_score,10,10,0.9800000000000001,0.04216370213557838,1.0,1.0,1.0,0.9,1.0
resultados/dataset4-petrobras-4-1-sem-ontologia/batch_2dff2b66-650c-4c68-9d8a-718ecb116b5a.csv,rag,rouge1_precision,10,10,0.4950358056032485,0.13818018876593927,0.4750223015165031,0.39783317800559176,0.6082995951417004,0.3076923076923077,0.72
resultados/dataset4-petrobras-4-1-sem-ontologia/batch_2dff2b66-650c-4c68-9d8a-718ecb116b5a.csv,rag,rouge1_recall,10,10,0.5882861091099406,0.14525585640056277,0.5680359435173299,0.4898648648648649,0.6995614035087719,0.4,0.8157894736842105
